area_list,tags_list,name,description,url,category,address,access,business_hours,regular_holidays,price,phone_no,if_reservation_needed
神奈川県,恋人と・夫婦で,横浜ベイクォーター,混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s386342/    ,買う,    神奈川県横浜市神奈川区金港町1-10[地図],    【電車】JR横浜駅きた東口Aから徒歩3分 【車】首都高速道路横羽線みなとみらい出口から約5分,    ショップ 11:00～20:00、レストラン・カフェ 11:00～23:00(一部7:00～)    ※店舗により異なる ※予告なく変更の場合あり ※一部変更中。詳細は公式サイト等をご確認ください,    なし,入場無料。, 045-577-8123 代表,
横浜駅(神奈川県),恋人と・夫婦で,横浜ベイクォーター,混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s386342/    ,買う,    神奈川県横浜市神奈川区金港町1-10[地図],    【電車】JR横浜駅きた東口Aから徒歩3分 【車】首都高速道路横羽線みなとみらい出口から約5分,    ショップ 11:00～20:00、レストラン・カフェ 11:00～23:00(一部7:00～)    ※店舗により異なる ※予告なく変更の場合あり ※一部変更中。詳細は公式サイト等をご確認ください,    なし,入場無料。, 045-577-8123 代表,
神奈川駅(神奈川県),恋人と・夫婦で,横浜ベイクォーター,混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s386342/    ,買う,    神奈川県横浜市神奈川区金港町1-10[地図],    【電車】JR横浜駅きた東口Aから徒歩3分 【車】首都高速道路横羽線みなとみらい出口から約5分,    ショップ 11:00～20:00、レストラン・カフェ 11:00～23:00(一部7:00～)    ※店舗により異なる ※予告なく変更の場合あり ※一部変更中。詳細は公式サイト等をご確認ください,    なし,入場無料。, 045-577-8123 代表,
新高島駅(神奈川県),恋人と・夫婦で,横浜ベイクォーター,混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s386342/    ,買う,    神奈川県横浜市神奈川区金港町1-10[地図],    【電車】JR横浜駅きた東口Aから徒歩3分 【車】首都高速道路横羽線みなとみらい出口から約5分,    ショップ 11:00～20:00、レストラン・カフェ 11:00～23:00(一部7:00～)    ※店舗により異なる ※予告なく変更の場合あり ※一部変更中。詳細は公式サイト等をご確認ください,    なし,入場無料。, 045-577-8123 代表,
反町駅(神奈川県),恋人と・夫婦で,横浜ベイクォーター,混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s386342/    ,買う,    神奈川県横浜市神奈川区金港町1-10[地図],    【電車】JR横浜駅きた東口Aから徒歩3分 【車】首都高速道路横羽線みなとみらい出口から約5分,    ショップ 11:00～20:00、レストラン・カフェ 11:00～23:00(一部7:00～)    ※店舗により異なる ※予告なく変更の場合あり ※一部変更中。詳細は公式サイト等をご確認ください,    なし,入場無料。, 045-577-8123 代表,
関東,恋人と・夫婦で,イオンモール上尾,「あったらいいな、を毎日に。」をモットーに掲げる商業施設,https://www.walkerplus.com/spot/ar0311s403938/    ,買う,    埼玉県上尾市愛宕3-8-1[地図],    【電車】JR上尾駅から徒歩18分 【車】首都圏中央連絡自動車道 桶川加納ICから18分,    10:00～21:00    店舗により異なる,    なし    天災、保守、メンテナンス等により臨時休業する場合あり,入場無料。, 048-770-1520,
埼玉県,恋人と・夫婦で,イオンモール上尾,「あったらいいな、を毎日に。」をモットーに掲げる商業施設,https://www.walkerplus.com/spot/ar0311s403938/    ,買う,    埼玉県上尾市愛宕3-8-1[地図],    【電車】JR上尾駅から徒歩18分 【車】首都圏中央連絡自動車道 桶川加納ICから18分,    10:00～21:00    店舗により異なる,    なし    天災、保守、メンテナンス等により臨時休業する場合あり,入場無料。, 048-770-1520,
関東,恋人と・夫婦で,イオンモール川口,混雑する時間の目安,https://www.walkerplus.com/spot/ar0311s409147/    ,買う,    埼玉県川口市安行領根岸3180[地図],    【電車】埼玉高速鉄道鳩ヶ谷駅よりバスで7分乗車し、イオンモール川口で下車またはJR京浜東北線川口駅よりバスで17分乗車し上根橋バス停で下車、徒歩4分 【車】首都高速川口線新井宿ICから約6分,    専門店・フードコート 10:00～21:00、レストラン 11:00～22:00    ※一部店舗はが異なる ※事情により、が変更になる場合あり,    なし,入場無料。, 048-280-2700,
埼玉県,恋人と・夫婦で,イオンモール川口,混雑する時間の目安,https://www.walkerplus.com/spot/ar0311s409147/    ,買う,    埼玉県川口市安行領根岸3180[地図],    【電車】埼玉高速鉄道鳩ヶ谷駅よりバスで7分乗車し、イオンモール川口で下車またはJR京浜東北線川口駅よりバスで17分乗車し上根橋バス停で下車、徒歩4分 【車】首都高速川口線新井宿ICから約6分,    専門店・フードコート 10:00～21:00、レストラン 11:00～22:00    ※一部店舗はが異なる ※事情により、が変更になる場合あり,    なし,入場無料。, 048-280-2700,
東海,恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
愛知県,恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
栄駅(愛知県),恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
栄町駅(愛知県),恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
矢場町駅(愛知県),恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
久屋大通駅(愛知県),恋人と・夫婦で,メルサ栄本店,“美と癒し”の店舗が集まる大型ショッピングモール,https://www.walkerplus.com/spot/ar0623s23093/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】名古屋市営地下鉄栄駅から徒歩3分,    10:00～20:00,    不定休,入場無料。, 052-251-7511,
東海,恋人と・夫婦で,イオンモール岡崎,混雑する時間の目安,https://www.walkerplus.com/spot/ar0623s390356/    ,買う,    愛知県岡崎市戸崎町字外山38-5[地図],    【電車】名鉄東岡崎駅からバスでイオンモール岡崎停留所下車すぐ、または戸崎町停留所下車徒歩約3分。JR岡崎駅からバスでイオンモール岡崎停留所下車すぐ、または戸崎町停留所下車徒歩約5分 【車】東名高速道路岡崎ICから約10分またはJR岡崎駅・岡崎公園から約7分,    専門店街 10:00～21:00、フードフォレスト 10:00～21:00、アオイダイニング 11:00～22:00、イオンシネマ 10:00～24:00、アミューズメント 10:00～21:00、 AEON 8:00～23:00    一部店舗でが異なる場合あり。詳細は公式サイトの各ショップページを参照。,    年中無休    ※天災、保守、メンテナンス等により臨時休業する場合あり。,入場無料。, 0564-59-1000,
愛知県,恋人と・夫婦で,イオンモール岡崎,混雑する時間の目安,https://www.walkerplus.com/spot/ar0623s390356/    ,買う,    愛知県岡崎市戸崎町字外山38-5[地図],    【電車】名鉄東岡崎駅からバスでイオンモール岡崎停留所下車すぐ、または戸崎町停留所下車徒歩約3分。JR岡崎駅からバスでイオンモール岡崎停留所下車すぐ、または戸崎町停留所下車徒歩約5分 【車】東名高速道路岡崎ICから約10分またはJR岡崎駅・岡崎公園から約7分,    専門店街 10:00～21:00、フードフォレスト 10:00～21:00、アオイダイニング 11:00～22:00、イオンシネマ 10:00～24:00、アミューズメント 10:00～21:00、 AEON 8:00～23:00    一部店舗でが異なる場合あり。詳細は公式サイトの各ショップページを参照。,    年中無休    ※天災、保守、メンテナンス等により臨時休業する場合あり。,入場無料。, 0564-59-1000,
九州,恋人と・夫婦で,MARK IS 福岡ももち,混雑する時間の目安,https://www.walkerplus.com/spot/ar1040s394755/    ,買う,    福岡県福岡市中央区地行二丁目2番1号[地図],    【電車】福岡市地下鉄空港線唐人町駅から徒歩10分 【車】福岡都市高速環状線西公園ランプまたは百道ランプから約5分 【バス】西鉄バスPayPayドームまたは九州医療センターから徒歩すぐ,    ショッピング＆フードコート 10:00～21:00。レストラン 11:00～22:00    ※一部が異なる,    不定休,入場無料。 ※クレジットカード使用可否は店舗により異なる, 092-407-1345 インフォメーション,
福岡県,恋人と・夫婦で,MARK IS 福岡ももち,混雑する時間の目安,https://www.walkerplus.com/spot/ar1040s394755/    ,買う,    福岡県福岡市中央区地行二丁目2番1号[地図],    【電車】福岡市地下鉄空港線唐人町駅から徒歩10分 【車】福岡都市高速環状線西公園ランプまたは百道ランプから約5分 【バス】西鉄バスPayPayドームまたは九州医療センターから徒歩すぐ,    ショッピング＆フードコート 10:00～21:00。レストラン 11:00～22:00    ※一部が異なる,    不定休,入場無料。 ※クレジットカード使用可否は店舗により異なる, 092-407-1345 インフォメーション,
唐人町駅(福岡県),恋人と・夫婦で,MARK IS 福岡ももち,混雑する時間の目安,https://www.walkerplus.com/spot/ar1040s394755/    ,買う,    福岡県福岡市中央区地行二丁目2番1号[地図],    【電車】福岡市地下鉄空港線唐人町駅から徒歩10分 【車】福岡都市高速環状線西公園ランプまたは百道ランプから約5分 【バス】西鉄バスPayPayドームまたは九州医療センターから徒歩すぐ,    ショッピング＆フードコート 10:00～21:00。レストラン 11:00～22:00    ※一部が異なる,    不定休,入場無料。 ※クレジットカード使用可否は店舗により異なる, 092-407-1345 インフォメーション,
関西,恋人と・夫婦で,レイク＆ハッピーサイドモール ピエリ守山,琵琶湖から対岸の比叡山や近江八景の比良山系の絶景が広がる,https://www.walkerplus.com/spot/ar0725s16084/    ,買う,    滋賀県守山市今浜町2620-5[地図],    【電車】JR堅田駅、JR守山駅から無料シャトルバスの運行あり 【車】西大津バイパス真野ICまたは名神高速道路栗東ICから約30分,    専門店、フードテラス10:00～21:00(一部異なる店舗あり)。レストランパーク11:00～22:00(LOは店舗により異なる)    【変更中】専門店・フードテラス・生鮮食品館TOKUYA 10:00～20:00、レストランパーク 11:00～21:00　※一部店舗により異なる,    なし,対応可。, 077-584-1000 ピエリ守山インフォメーション,
滋賀県,恋人と・夫婦で,レイク＆ハッピーサイドモール ピエリ守山,琵琶湖から対岸の比叡山や近江八景の比良山系の絶景が広がる,https://www.walkerplus.com/spot/ar0725s16084/    ,買う,    滋賀県守山市今浜町2620-5[地図],    【電車】JR堅田駅、JR守山駅から無料シャトルバスの運行あり 【車】西大津バイパス真野ICまたは名神高速道路栗東ICから約30分,    専門店、フードテラス10:00～21:00(一部異なる店舗あり)。レストランパーク11:00～22:00(LOは店舗により異なる)    【変更中】専門店・フードテラス・生鮮食品館TOKUYA 10:00～20:00、レストランパーク 11:00～21:00　※一部店舗により異なる,    なし,対応可。, 077-584-1000 ピエリ守山インフォメーション,
関東,恋人と・夫婦で,横浜ハンマーヘッド,新業態＆初出店のショップ＆レストランが大集結,https://www.walkerplus.com/spot/ar0314s369294/    ,買う,    神奈川県横浜市中区新港2-14-1[地図],    【電車】みなとみらい線馬車道駅から徒歩10分、みなとみらい駅から徒歩12分 【車】首都高速みなとみらいランプ出口より約6分,    10:00～20:00    一部店舗により異なる ※変更中。詳細は公式サイト等をご確認ください,    未定,入場無料。, 045-211-8080 インフォメーションカウンター　10:00～21:00,
神奈川県,恋人と・夫婦で,横浜ハンマーヘッド,新業態＆初出店のショップ＆レストランが大集結,https://www.walkerplus.com/spot/ar0314s369294/    ,買う,    神奈川県横浜市中区新港2-14-1[地図],    【電車】みなとみらい線馬車道駅から徒歩10分、みなとみらい駅から徒歩12分 【車】首都高速みなとみらいランプ出口より約6分,    10:00～20:00    一部店舗により異なる ※変更中。詳細は公式サイト等をご確認ください,    未定,入場無料。, 045-211-8080 インフォメーションカウンター　10:00～21:00,
みなとみらい駅(神奈川県),恋人と・夫婦で,横浜ハンマーヘッド,新業態＆初出店のショップ＆レストランが大集結,https://www.walkerplus.com/spot/ar0314s369294/    ,買う,    神奈川県横浜市中区新港2-14-1[地図],    【電車】みなとみらい線馬車道駅から徒歩10分、みなとみらい駅から徒歩12分 【車】首都高速みなとみらいランプ出口より約6分,    10:00～20:00    一部店舗により異なる ※変更中。詳細は公式サイト等をご確認ください,    未定,入場無料。, 045-211-8080 インフォメーションカウンター　10:00～21:00,
馬車道駅(神奈川県),恋人と・夫婦で,横浜ハンマーヘッド,新業態＆初出店のショップ＆レストランが大集結,https://www.walkerplus.com/spot/ar0314s369294/    ,買う,    神奈川県横浜市中区新港2-14-1[地図],    【電車】みなとみらい線馬車道駅から徒歩10分、みなとみらい駅から徒歩12分 【車】首都高速みなとみらいランプ出口より約6分,    10:00～20:00    一部店舗により異なる ※変更中。詳細は公式サイト等をご確認ください,    未定,入場無料。, 045-211-8080 インフォメーションカウンター　10:00～21:00,
中国,恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
広島県,恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
縮景園前停留所(広島県),恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
女学院前停留所(広島県),恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
家庭裁判所前停留所(広島県),恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
白島停留所(広島県),恋人と・夫婦で,アランビック,一流店が集う広島屈指のグルメスポット,https://www.walkerplus.com/spot/ar0834s16112/    ,買う,    広島県広島市中区上八丁掘4-1 アーバンビューグランドタワー[地図],    【電車】広島電鉄白島線縮景園前駅1番出口・女学院前駅から徒歩1分 【車】山陽自動車道広島ICから約15分,    各店舗により異なる,    各店舗により異なる,対応可。, 0120-16-9009,
九州,恋人と・夫婦で,えきマチ1丁目佐世保,佐世保の玄関口としてにぎわう買い物スポット,https://www.walkerplus.com/spot/ar1042s16128/    ,買う,    長崎県佐世保市三浦町21-1[地図],    【電】JR佐世保駅から徒歩1分 【車】西九州自動車道佐世保みなとICから約5分,    10:00～21:00(各店舗ごとに異なる)    ※一部変更中。詳細は公式サイト等をご確認ください,    なし    店舗により異なる,クレジットカードは一部利用不可, 0956-24-6523,
